row	family	params	carrier	laws_satisfied
446	linear/Z_m	m=13 a=10 b=1	finite:13	10
447	linear/Z_m	m=13 a=10 b=5	finite:13	10
448	linear/Z_m	m=13 a=10 b=6	finite:13	7
449	linear/Z_m	m=13 a=10 b=7	finite:13	4
450	linear/Z_m	m=13 a=10 b=11	finite:13	13
451	linear/Z_m	m=13 a=11 b=2	finite:13	17
452	linear/Z_m	m=13 a=11 b=3	finite:13	69
453	linear/Z_m	m=13 a=11 b=4	finite:13	11
454	linear/Z_m	m=13 a=11 b=5	finite:13	8
455	linear/Z_m	m=13 a=11 b=6	finite:13	3
456	linear/Z_m	m=13 a=11 b=7	finite:13	13
457	linear/Z_m	m=13 a=11 b=8	finite:13	12
458	linear/Z_m	m=13 a=11 b=9	finite:13	11
459	linear/Z_m	m=13 a=11 b=10	finite:13	13
460	linear/Z_m	m=13 a=12 b=2	finite:13	100
461	linear/Z_m	m=13 a=12 b=3	finite:13	49
462	linear/Z_m	m=14 a=1 b=2	finite:14	7
463	linear/Z_m	m=14 a=1 b=3	finite:14	9
464	linear/Z_m	m=14 a=1 b=4	finite:14	11
465	linear/Z_m	m=14 a=1 b=5	finite:14	7
466	linear/Z_m	m=14 a=1 b=9	finite:14	5
467	linear/Z_m	m=14 a=1 b=10	finite:14	9
468	linear/Z_m	m=14 a=1 b=11	finite:14	9
469	linear/Z_m	m=14 a=1 b=12	finite:14	9
470	linear/Z_m	m=14 a=2 b=1	finite:14	7
471	linear/Z_m	m=14 a=2 b=3	finite:14	9
472	linear/Z_m	m=14 a=2 b=4	finite:14	6
473	linear/Z_m	m=14 a=2 b=5	finite:14	10
474	linear/Z_m	m=14 a=2 b=6	finite:14	40
475	linear/Z_m	m=14 a=2 b=7	finite:14	98
476	linear/Z_m	m=14 a=2 b=8	finite:14	4
477	linear/Z_m	m=14 a=2 b=9	finite:14	11
478	linear/Z_m	m=14 a=2 b=10	finite:14	6
