set	from	to	smallest_witness
unresolved	2531	3103	13
unresolved	2531	3115	13
unresolved	2531	3143	13
unresolved	2531	3185	13
unresolved	2531	3253	none
unresolved	2531	3261	13
unresolved	2531	3278	13
unresolved	2531	3306	13
unresolved	2531	3319	none
unresolved	2531	3334	13
unresolved	2531	3345	13
unresolved	2531	3353	13
unresolved	2531	3414	13
unresolved	2531	3456	none
unresolved	2531	3475	13
unresolved	2531	3484	13
unresolved	2531	3522	none
unresolved	2531	3548	13
unresolved	2531	3556	13
unresolved	2531	3659	none
unresolved	2531	3675	13
unresolved	2531	3687	13
unresolved	2531	3715	none
unresolved	2531	3722	none
unresolved	2531	3748	13
unresolved	2531	3862	none
unresolved	2531	3868	13
unresolved	2531	3881	13
unresolved	2531	3887	13
unresolved	2531	3915	none
unresolved	2531	3951	13
unresolved	2531	3962	13
unresolved	2531	3973	13
unresolved	2531	4023	13
unresolved	2531	4065	none
unresolved	2531	4071	13
unresolved	2531	4084	13
unresolved	2531	4118	none
unresolved	2531	4130	13
unresolved	2531	4164	13
unresolved	2531	4275	13
unresolved	2531	4307	13
unresolved	2531	4321	13
unresolved	2531	4380	none
unresolved	2531	4409	13
unresolved	2531	4435	none
unresolved	2531	4443	13
unresolved	2531	4470	none
unresolved	2531	4479	13
unresolved	2531	4605	13
unresolved	2531	4636	13
unresolved	2531	4684	13
unresolved	2534	1020	none
unresolved	2534	1113	none
unresolved	2538	1020	none
unresolved	2538	1023	none
unresolved	2538	1109	none
unresolved	2538	1113	none
unresolved	2538	1117	none
unresolved	2650	3253	none
unresolved	2700	47	11
unresolved	2700	2709	9
unresolved	2700	2736	9
unresolved	2700	2847	11
unresolved	2710	1020	none
unresolved	2710	1086	none
unresolved	2710	1832	none
unresolved	2710	1898	none
unresolved	2712	2285	none
unresolved	2712	2449	none
unresolved	2712	2452	none
unresolved	2712	2488	none
unresolved	2712	3065	none
unresolved	2712	3519	none
unresolved	2712	4128	none
unresolved	2744	1323	none
unresolved	2744	1426	none
unresolved	2744	1526	none
unresolved	2856	2035	none
unresolved	2856	3456	none
unresolved	2910	47	none
unresolved	2913	513	11
unresolved	2937	2644	11
unresolved	2940	614	none
unresolved	2940	1316	none
unresolved	3069	307	none
unresolved	3069	3253	none
unresolved	3069	3456	none
unresolved	3076	307	none
unresolved	3076	3253	none
unresolved	3076	3456	none
unresolved	3103	466	11
unresolved	3103	1075	11
unresolved	3113	3058	11
unresolved	3113	4068	11
unresolved	3116	411	none
unresolved	3116	513	11
unresolved	3116	614	none
unresolved	3116	1020	none
unresolved	3116	1223	none
unresolved	3116	1289	none
unresolved	3116	2238	none
unresolved	3116	2441	none
unresolved	3116	2507	none
unresolved	3116	2847	none
unresolved	3116	2913	none
unresolved	3116	4380	none
unresolved	3116	4435	none
unresolved	3308	3456	none
unresolved	3308	3511	none
unresolved	3342	3456	none
unresolved	3342	3522	none
unresolved	3342	4065	none
unresolved	3342	4118	none
unresolved	3549	3862	none
unresolved	3549	3955	none
unresolved	3917	3456	none
unresolved	3917	3511	none
unresolved	4158	3862	none
unresolved	4158	3955	none
unresolved	4167	3253	none
unresolved	4167	3319	none
unresolved	4167	3862	none
unresolved	4167	3915	none
saturation_refuted	115	2707	none
saturation_refuted	115	4273	none
saturation_refuted	115	4332	none
saturation_refuted	118	274	none
saturation_refuted	118	4435	none
saturation_refuted	124	1924	none
saturation_refuted	168	3462	none
saturation_refuted	168	3463	none
saturation_refuted	168	3521	none
saturation_refuted	168	3522	none
saturation_refuted	168	3523	none
saturation_refuted	168	3532	none
saturation_refuted	168	3533	none
saturation_refuted	168	3534	none
saturation_refuted	168	3535	none
saturation_refuted	168	3864	none
saturation_refuted	168	3883	none
saturation_refuted	168	3915	none
saturation_refuted	168	3921	none
saturation_refuted	168	3958	none
saturation_refuted	168	3989	none
saturation_refuted	168	3997	none
saturation_refuted	168	4001	none
saturation_refuted	168	4282	none
saturation_refuted	168	4314	none
saturation_refuted	168	4315	none
saturation_refuted	168	4339	none
